Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_2-i_9-br_11-cl_14-f.log,0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,4,666.9283,354.24,Training,698.388353378762
6Heliceno_2-f_10-f_11-cl_12-f_15-br.log,0,1,0,0,0,0,0,0,0,1,2,1,0,0,3,0,5,633.0752,350.4,Training,628.717875771886
6Heliceno_5-cl_7-br_11-cl_13-cl_16-i.log,0,0,0,0,2,0,3,0,0,0,2,0,2,0,0,4,5,482.4038,370.02,Training,447.9818931988691
6Heliceno_3-br_4-cl_8-cl_10-br_12-cl.log,0,0,3,2,0,0,0,2,0,3,0,2,0,0,0,0,5,538.7913,357.8,Training,490.85281910683705
6Heliceno_11-i_12-f_13-br.log,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,3,510.8251,354.08,Training,452.9152010221681
6Heliceno_11-f_13-f_15-cl.log,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,659.8429,345.47,Training,661.4112563771353
6Heliceno_4-i_11-br.log,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,544.1287,349.25,Training,516.1215780978748
6Heliceno_1-br_5-i_6-f_7-cl_12-br_13-br.log,3,0,0,0,4,1,2,0,0,0,0,3,3,0,0,0,6,180.8595,379.99,Training,191.11574235837256
6Heliceno_2-cl_3-f_10-f_13-f.log,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,676.0942,343.48,Training,634.6021351206147
6Heliceno_8-cl_12-cl_13-cl.log,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,3,455.1047,354.88,Training,459.42293522866606
6Heliceno_5-f_7-cl_8-f_11-cl_14-br_15-i.log,0,0,0,0,1,0,2,1,0,0,2,0,0,3,4,0,6,680.5542,358.79,Training,640.6196975962939
6Heliceno_1-f_6-i_7-f_12-i.log,1,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,4,323.3664,358.93,Training,353.42652239102125
