Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_2-i_15-i_16-i.log,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,349.969,366.92,Training,754.9929089498987
6Heliceno_7-f_8-f_10-i_11-f_13-cl.log,0,0,0,0,0,0,1,1,0,4,1,0,2,0,0,0,5,437.5096,357.34,Training,449.47002756024267
6Heliceno_4-cl_7-i.log,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,544.8066,349.92,Training,548.8169278202499
6Heliceno_10-br_15-i.log,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,2,694.2488,351.27,Training,604.631702268391
6Heliceno_4-cl_6-cl_9-br_10-cl_15-br_16-cl.log,0,0,0,2,0,2,0,0,3,2,0,0,0,0,3,2,6,504.4688,368.88,Training,473.5675181525543
6Heliceno_1-f_4-f_9-br_10-i_13-br_16-cl.log,1,0,0,1,0,0,0,0,3,4,0,0,3,0,0,2,6,287.2145,366.41,Training,328.434727821217
6Heliceno_2-cl_6-br_11-i_12-i.log,0,2,0,0,0,3,0,0,0,0,4,4,0,0,0,0,4,401.2533,355.02,Training,462.3249634678797
6Heliceno_1-f_10-i_13-cl.log,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,3,427.7424,349.44,Training,476.4018076044028
6Heliceno_1-br_3-i_13-br_14-cl_16-br.log,3,0,4,0,0,0,0,0,0,0,0,0,3,2,0,3,5,590.0745,368.38,Training,528.6409912367776
6Heliceno_6-cl_7-cl.log,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,524.2032,353.63,Training,497.41556716537656
6Heliceno_13-cl_14-cl.log,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,662.1677,345.48,Training,617.7356714460016
6Heliceno_1-f_6-br_7-br_8-i_9-br_11-i.log,1,0,0,0,0,3,3,4,3,0,4,0,0,0,0,0,6,246.9094,372.15,Training,321.3523735775148
6Heliceno_1-cl_5-i_8-cl_16-i.log,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,4,423.7266,369.64,Training,448.6615267044803
6Heliceno_4-f_6-br_9-br_12-i_14-i_16-f.log,0,0,0,1,0,3,0,0,3,0,0,4,0,4,0,1,6,373.4954,362.59,Training,439.5521439583534
6Heliceno_7-i_13-f_16-cl.log,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,3,470.8552,354.38,Training,570.8236082817156
6Heliceno_1-f_2-i_3-f_5-i_9-cl_10-i.log,1,4,1,0,4,0,0,0,2,4,0,0,0,0,0,0,6,376.4914,361.12,Training,415.6308676119164
6Heliceno_2-br_3-i_15-br_16-cl.log,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,4,698.5759,358.24,Training,765.2183103854609
6Heliceno_1-cl_4-f_5-cl_9-f_13-f.log,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,5,326.9496,363.32,Training,335.0716233128595
6Heliceno_2-i_9-br_11-cl_14-f.log,0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,4,666.9283,354.24,Training,695.4054025161082
6Heliceno_2-f_10-f_11-cl_12-f_15-br.log,0,1,0,0,0,0,0,0,0,1,2,1,0,0,3,0,5,633.0752,350.4,Training,536.8841944747436
6Heliceno_5-cl_7-br_11-cl_13-cl_16-i.log,0,0,0,0,2,0,3,0,0,0,2,0,2,0,0,4,5,482.4038,370.02,Training,445.5303991867699
6Heliceno_3-br_4-cl_8-cl_10-br_12-cl.log,0,0,3,2,0,0,0,2,0,3,0,2,0,0,0,0,5,538.7913,357.8,Training,469.3989307281659
6Heliceno_11-i_12-f_13-br.log,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,3,510.8251,354.08,Training,455.65934979299516
6Heliceno_11-f_13-f_15-cl.log,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,659.8429,345.47,Training,624.7521686410832
6Heliceno_4-i_11-br.log,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,544.1287,349.25,Training,517.2114701684233
6Heliceno_1-br_5-i_6-f_7-cl_12-br_13-br.log,3,0,0,0,4,1,2,0,0,0,0,3,3,0,0,0,6,180.8595,379.99,Training,228.75682512409045
6Heliceno_2-cl_3-f_10-f_13-f.log,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,676.0942,343.48,Training,599.4852724430687
6Heliceno_8-cl_12-cl_13-cl.log,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,3,455.1047,354.88,Training,456.4818491862372
6Heliceno_5-f_7-cl_8-f_11-cl_14-br_15-i.log,0,0,0,0,1,0,2,1,0,0,2,0,0,3,4,0,6,680.5542,358.79,Training,548.0740660621257
6Heliceno_1-f_6-i_7-f_12-i.log,1,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,4,323.3664,358.93,Training,350.3781816093993
6Heliceno_2-br_3-i_7-br_8-f_10-i_14-i.log,0,3,4,0,0,0,3,1,0,4,0,0,0,4,0,0,6,491.2408,367.1,Training,572.934636310979
6Heliceno_5-i_7-i_9-br_11-cl_13-f.log,0,0,0,0,4,0,4,0,3,0,2,0,1,0,0,0,5,400.9974,363.95,Training,417.1196996017805
